A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,xcoord,ycoord
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,222-6,,2000,1,8910,,,,,,,,,,,,,,2023-08-10,205267.3177,454139.7723
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,225-2,,2000,1,9350,,,,,,,,,,,,,,2023-08-10,205292.6491,454225.8429
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,254-6,,2000,1,2090,,,,,,,,,,,,,,2023-08-10,204668.5734,455547.0803
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,254-10,,2000,1,2090,,,,,,,,,,,,,,2023-08-10,204661.6618,455654.3785
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,254-11,,2000,1,2000,,,,,,,,,,,,,,2023-08-10,204656.99,455617.5579
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,254-12,,2000,1,2200,,,,,,,,,,,,,,2023-08-10,204630.1489,455496.9077
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,259-1,,2000,1,2020,,,,,,,,,,,,,,2023-08-10,204706.5646,455263.8667
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,263,,2000,1,2220,,,,,,,,,,,,,,2023-08-10,204600.1831,455356.9442
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,265,,2000,1,2020,,,,,,,,,,,,,,2023-08-10,204682.3829,455235.8187
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,274-5,,2000,1,2100,,,,,,,,,,,,,,2023-08-10,204909.8057,454909.8717
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,275,,2000,1,3260,,,,,,,,,,,,,,2023-08-10,204751.8697,454910.4826
4.41313E+18,4413132021,충청남도 천안시 동남구 광덕면 광덕리,1,일반,285,,2000,1,3120,,,,,,,,,,,,,,2023-08-10,204638.9287,454937.8633
